#{"t_start": 1745342090.7553267, "env_id": "None"}
r,l,t
-18749.819478,1,2.305176
-19032.600543,1,2.307308
-19655.436819,1,2.310858
-17866.64048,1,2.313167
-18504.906145,1,2.315377
-18345.659328,1,2.317488
-18986.202091,1,2.320538
-17670.097109,1,2.322543
-16288.748058,1,2.323689
-17117.933071,1,2.32622
-18277.593836,1,2.329298
-20304.447329,1,2.331316
-17955.966451,1,2.335818
-18932.387924,1,2.338029
-19268.302515,1,2.341277
-17588.712936,1,2.342368
-20655.96982,1,2.344657
-17940.999466,1,2.346927
-18235.153504,1,2.350065
-17707.324435,1,2.352287
-19921.885776,1,2.353402
-18906.730333,1,2.355652
-19133.080577,1,2.35797
-18612.887893,1,2.360174
-17606.045422,1,2.362391
-19494.367513,1,2.36458
-17309.566201,1,2.368013
-17149.723731,1,2.370202
-19143.794351,1,2.372403
-18933.029065,1,2.375516
-20122.870454,1,2.378566
-17627.637882,1,2.379569
-19195.804119,1,2.383033
-17789.427199,1,2.385166
-17088.003308,1,2.387675
-16985.574228,1,2.390556
-18520.631979,1,2.393217
-17410.277542,1,2.395469
-18271.577726,1,2.398659
-18604.062138,1,2.40081
-18321.208846,1,2.402816
-17721.666263,1,2.406034
-20245.392466,1,2.408223
-17139.139681,1,2.410419
-17596.007254,1,2.412581
-17947.606991,1,2.414787
-18937.03537,1,2.41706
-19243.18168,1,2.419277
-18567.031054,1,2.422617
-20519.011355,1,2.424633
-18645.090684,1,2.426947
-19282.484127,1,2.429009
-19882.751287,1,2.432056
-19581.649725,1,2.434084
-19362.749321,1,2.436092
-16391.378545,1,2.439255
-19023.583941,1,2.441263
-17978.162946,1,2.443295
-19641.782736,1,2.446552
-17917.412638,1,2.448582
-16741.487009,1,2.450603
-19139.352032,1,2.453666
-18528.009187,1,2.455686
-18002.486021,1,2.45886
-17624.251855,1,2.461073
-18714.968854,1,2.463266
-17932.565565,1,2.466326
-19366.758276,1,2.468413
-18151.710374,1,2.470429
-18247.532027,1,2.473421
-18656.935863,1,2.475558
-19236.259225,1,2.477565
-17324.94019,1,2.479594
-17779.359216,1,2.481615
-18581.937476,1,2.483618
-17957.41474,1,2.486192
-18284.532359,1,2.488447
-19906.067358,1,2.490581
-18934.236118,1,2.493791
-18305.733751,1,2.495821
-18662.470061,1,2.497826
-18089.257211,1,2.500001
-17997.679156,1,2.502075
-21263.608933,1,2.505643
-17100.404808,1,2.508111
-19280.177086,1,2.510108
-16563.784376,1,2.513201
-18665.667436,1,2.516504
-19817.069737,1,2.518551
-19731.587962,1,2.520545
-19145.162997,1,2.523637
-18473.227912,1,2.527078
-18443.092983,1,2.530332
-19326.282464,1,2.532376
-19850.194293,1,2.534634
-19050.921681,1,2.53664
-18327.185444,1,2.539706
-18516.291154,1,2.541744
-19130.09471,1,2.544822
-19232.227851,1,2.54805
-17157.894935,1,2.55012
-19280.873223,1,2.553149
-18455.47894,1,2.55523
-17432.946388,1,2.557278
-19990.71749,1,2.559354
-17728.394154,1,2.561434
-18348.289834,1,2.563468
-17302.067269,1,2.56555
-18121.054471,1,2.56865
-17887.455539,1,2.570754
-20887.190325,1,2.572788
-17718.164541,1,2.574887
-19166.216058,1,2.578048
-19586.309747,1,2.580112
-17980.364499,1,2.582153
-18031.954541,1,2.585189
-18284.682332,1,2.58673
-18529.580048,1,2.588768
-17139.47432,1,2.591861
-18020.684316,1,2.594128
-17550.122785,1,2.596252
-18147.413732,1,2.598293
-16711.126904,1,2.601416
-18706.312945,1,2.603456
